,If this,Then this,Support,Confidence,Lift
8,Cupcake Toppers and Wrappers Set - Digital Collage Sheet Layered Template - (T004),Party Banner - Digital Collage Sheet Layered Template - (T011),0.0037,0.4138,26.7393
7,Cupcake Flags - Digital Collage Sheet Layered Template - (T054),Party Banner - Digital Collage Sheet Layered Template - (T011),0.0031,0.2222,14.36
18,"Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001), Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T014)",Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),0.0031,0.7143,11.425
12,Mini Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T013),Party Banner - Digital Collage Sheet Layered Template - (T011),0.0031,0.084,5.4303
15,Party Banner - Digital Collage Sheet Layered Template - (T011),Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),0.004,0.26,4.1587
16,Party Hat - Digital Collage Sheet Layered Template - (T058),Popcorn Box - Digital Collage Sheet Layered Template - (T017),0.0034,0.1803,3.8843
9,Foldable Tent Labels - Digital Collage Sheet Layered Template - (T010),Mini Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T013),0.0037,0.1277,3.4661
3,"2"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T048)",Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),0.004,0.2063,3.3006
11,Foldable Tent Labels - Digital Collage Sheet Layered Template - (T010),Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),0.0059,0.2021,3.233
10,Foldable Tent Labels - Digital Collage Sheet Layered Template - (T010),Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),0.0056,0.1915,2.7621
14,Mini Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T013),Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),0.0046,0.1261,2.0162
